"filename","bytes","sha256"
"FILE_MANIFEST.md","1873","5d18027a3ee4580b13be32524d87f43a1996f1de0724bdac109ed7f26c6fba51"
"READ_FIRST_SOE_HOSTILE_SPRINT_RCC01_DESIGN_PACKET_2026-06-22.md","3730","609efdb9dcd2a4c42d287233247c464f35fae3f1843be654bcc463ad856d69c6"
"SEND_TO_MULTI_AI_RCC01_DESIGN_REVIEW_2026-06-22.md","3570","5f36d6400d58eb28c89e52d2d8698fbac3a6caed21b5877d615782589b805288"
"SOE_RCC01_Adversary_Class_Taxonomy_2026-06-23.md","2771","eb211702668a9804a5fd0fd3653243b4702a988a3c660118e029c4eca1a6bf5b"
"SOE_RCC01_Consent_Privacy_Data_Withdrawal_Template_2026-06-22.md","3305","1882125874397dcb0b2069ef0bc3f6e0170326e3315ff0557eb650f18576c597"
"SOE_RCC01_Design_Overview_2026-06-22.md","4409","1033e82d1c7d3c81679c03890c55d5c8e556214acbcf6f4d52a20f18a45487d6"
"SOE_RCC01_Failure_Consequence_Map_2026-06-22.md","4479","b0c05dc9c80ebcafab1660a3880914b744619018152f4ffefcb7d5f110266e50"
"SOE_RCC01_Minimal_Reality_Check_Option_2026-06-23.md","1713","f3d572a8376ef12d046be8506a53276c7e6174d76cfe1558af7a9a28ddb5cbb6"
"SOE_RCC01_Participant_Profile_And_Independence_Rules_2026-06-22.md","3082","aa75794dda42dc3f40f6eeb3e1b1f9987794b51b9a73dc1ad94cd120160a025c"
"SOE_RCC01_Pre_Execution_Hold_Checklist_2026-06-22.md","3281","b7496609b79fbeeff44397d0e82646ff8c4dcc20da94730e6adbaeca2f33e198"
"SOE_RCC01_Preregistration_Template_2026-06-23.md","4520","d8f97ec1979b36a2525cfea5f81cadb8456cb896ecbe5dd182889ae8656a4a62"
"SOE_RCC01_Question_Instrument_2026-06-22.md","5550","fb84e501f5bce93e70a87e53db9823d7d566c58b0d0e097cb4a36bc48a50ee42"
"SOE_RCC01_Review_Disposition_Patch_Response_2026-06-23.md","4713","6d85b097c4fc9bd58b7967d28c341af2468769504838486a17a8378f46e4f18c"
"SOE_RCC01_Scoring_Coding_Protocol_2026-06-23.md","5587","27a64ba3ddf70aad5fd505745a3178671c48b784a7b00987ca047dc648a6412e"
"SOE_RCC01_Source_Material_Draft_2026-06-22.md","6317","4f89ee70284b25531ca54ff47bcc30099e0a4f347aa660ed5595361e202a17ab"
